salad_title,prep_time,n_star,n_review,Calories,Total Fat,Saturated Fat,Carbohydrates,Dietary Fiber,Sugar,Protein,Cholesterol,Sodium
Carrot Salad,13 minutes,4.5 of 5 stars,43 Reviews,['14 grams '],['2 grams '],['0 milligrams '],['649 milligrams '],['11 grams '],['3 grams '],['1 grams '],['5 grams '],['168 calorie ']
Chicken Salad Sandwiches,20 minutes,4.5 of 5 stars,74 Reviews,['271 '],['22 g'],['4 g'],['8 g'],['2 g'],['4 g'],['10 g'],['43 mg'],['219 mg']
Caprese Salad,1 hour,5 of 5 stars,25 Reviews,['17 grams '],['7 grams '],['35 milligrams '],['167 milligrams '],['13 grams '],['0.5 grams '],['11 grams '],['8 grams '],['248 ']
Jicama Salad,20 minutes,5 of 5 stars,26 Reviews,['687 '],['57 g'],['8 g'],['49 g'],['22 g'],['18 g'],['6 g'],['0 mg'],['1164 mg']
"Pomegranate, Arugula Salad",5 minutes,5 of 5 stars,44 Reviews,['618 '],['49 g'],['8 g'],['44 g'],['5 g'],['36 g'],['7 g'],['6 mg'],['510 mg']
Tomato Feta Salad,15 minutes,5 of 5 stars,46 Reviews,['205 '],['16 g'],['7 g'],['8 g'],['2 g'],['4 g'],['7 g'],['38 mg'],['493 mg']
Deviled Potato Salad,22 minutes,4.5 of 5 stars,71 Reviews,['421 '],['23 g'],['3 g'],['49 g'],['7 g'],['3 g'],['6 g'],['11 mg'],['754 mg']
Buffalo Chicken Salad,35 minutes,5 of 5 stars,33 Reviews,,,,,,,,,
Guacamole Salad,10 minutes,4.5 of 5 stars,40 Reviews,['347 '],['33 g'],['5 g'],['15 g'],['8 g'],['4 g'],['3 g'],['0 mg'],['578 mg']
Smokin' Potato Salad,1 hour 20 minutes,5 of 5 stars,36 Reviews,['254 '],['18 g'],['4 g'],['22 g'],['3 g'],['2 g'],['3 g'],['13 mg'],['385 mg']
Citrus Salad,5 minutes,4.5 of 5 stars,40 Reviews,['239 '],['20 g'],['3 g'],['15 g'],['4 g'],['11 g'],['3 g'],['0 mg'],['405 mg']
1905 Salad,30 minutes,5 of 5 stars,23 Reviews,['401 '],['36 g'],['8 g'],['10 g'],['2 g'],['4 g'],['11 g'],['33 mg'],['568 mg']
Antipasto Salad,10 minutes,5 of 5 stars,20 Reviews,['428 '],['35 g'],['9 g'],['14 g'],['6 g'],['3 g'],['16 g'],['61 mg'],['1248 mg']
Couscous Salad,55 minutes,5 of 5 stars,25 Reviews,['316 '],['10 g'],['2 g'],['46 g'],['4 g'],['4 g'],['9 g'],['2 mg'],['513 mg']
Mom's Salad,5 minutes,5 of 5 stars,23 Reviews,['350 '],['29 g'],['5 g'],['21 g'],['9 g'],['9 g'],['6 g'],['4 mg'],['1272 mg']
Three Bean Salad,20 minutes,5 of 5 stars,38 Reviews,['271 '],['14 g'],['2 g'],['28 g'],['7 g'],['6 g'],['9 g'],['0 mg'],['388 mg']
Roasted Artichoke Salad,1 hour 20 minutes,4.5 of 5 stars,79 Reviews,['135 '],['4 g'],['1 g'],['23 g'],['11 g'],['4 g'],['7 g'],['0 mg'],['572 mg']
Kid-Friendly Pasta Salad,35 minutes,5 of 5 stars,75 Reviews,['453 '],['28 g'],['10 g'],['35 g'],['2 g'],['3 g'],['15 g'],['46 mg'],['380 mg']
Creole Potato Salad,35 minutes,5 of 5 stars,37 Reviews,['394 '],['23 g'],['3 g'],['43 g'],['6 g'],['6 g'],['6 g'],['11 mg'],['788 mg']
Caesar Salad with Pancetta,35 minutes,5 of 5 stars,65 Reviews,['762 '],['71 g'],['16 g'],['13 g'],['6 g'],['5 g'],['21 g'],['78 mg'],['997 mg']
Grilled Thai Beef Salad,4 hours 30 minutes,5 of 5 stars,81 Reviews,['18 grams '],['4.5 grams '],['90 milligrams '],['439 milligrams '],['12 grams '],['1 grams '],['33 grams '],['6 grams '],['349 calorie ']
Italian Lentil Salad,28 minutes,4.5 of 5 stars,59 Reviews,['20 grams '],['2 grams '],['173 milligrams '],['61 grams '],['14.5 grams '],['19 grams '],['11 grams '],['480 '],['20 grams ']
Brown Rice Salad,1 hour 30 minutes,4.5 of 5 stars,72 Reviews,['495 '],['23 g'],['8 g'],['59 g'],['3 g'],['3 g'],['12 g'],['37 mg'],['814 mg']
Italian Tuna Salad,15 minutes,5 of 5 stars,41 Reviews,['168 '],['10 g'],['2 g'],['6 g'],['1 g'],['1 g'],['12 g'],['34 mg'],['311 mg']
Avocado Salad,15 minutes,5 of 5 stars,21 Reviews,,,,,,,,,
Chicken Kebab Salad,1 hour 20 minutes,5 of 5 stars,42 Reviews,['1422 '],['105 g'],['19 g'],['61 g'],['12 g'],['9 g'],['64 g'],['240 mg'],['1832 mg']
Peas and Pasta Salad,23 minutes,5 of 5 stars,51 Reviews,['609 '],['39 g'],['10 g'],['51 g'],['4 g'],['6 g'],['14 g'],['23 mg'],['432 mg']
Grilled Vegetable Salad,17 minutes,5 of 5 stars,43 Reviews,['463 '],['40 g'],['10 g'],['20 g'],['5 g'],['9 g'],['9 g'],['34 mg'],['866 mg']
Killer Kale Salad,35 minutes,5 of 5 stars,33 Reviews,['426 '],['38 g'],['9 g'],['12 g'],['4 g'],['5 g'],['9 g'],['20 mg'],['513 mg']
Unknown,Unknown,Unknown,no review info,,,,,,,,,
Pecorino and Bean Salad,6 minutes,5 of 5 stars,67 Reviews,['262 '],['13 g'],['5 g'],['20 g'],['6 g'],['1 g'],['17 g'],['25 mg'],['346 mg']
Mac-Daddi-Roni Salad,1 hour 50 minutes,5 of 5 stars,78 Reviews,['847 '],['61 g'],['9 g'],['63 g'],['4 g'],['5 g'],['11 g'],['30 mg'],['634 mg']
Citrus Rice Salad,1 hour 16 minutes,4.5 of 5 stars,70 Reviews,['543 '],['29 g'],['4 g'],['62 g'],['5 g'],['8 g'],['11 g'],['0 mg'],['782 mg']
Gazpacho Salad,20 minutes,5 of 5 stars,23 Reviews,['467 '],['41 g'],['6 g'],['23 g'],['5 g'],['11 g'],['5 g'],['0 mg'],['1025 mg']
Greek Chicken and Orzo Pasta Salad,1 hour 15 minutes,5 of 5 stars,132 Reviews,['671 '],['39 g'],['11 g'],['59 g'],['4 g'],['5 g'],['21 g'],['56 mg'],['613 mg']
Muffaletta Salad,2 hours 20 minutes,5 of 5 stars,29 Reviews,['668 '],['45 g'],['10 g'],['53 g'],['10 g'],['9 g'],['19 g'],['33 mg'],['926 mg']
Supreme Pizza Pasta Salad,25 minutes,5 of 5 stars,75 Reviews,['495 '],['24 g'],['9 g'],['47 g'],['3 g'],['4 g'],['22 g'],['48 mg'],['439 mg']
"Tomato, Onion, and Cucumber Salad",5 minutes,4.5 of 5 stars,115 Reviews,['7 grams '],['1 grams '],['0 milligrams '],['77 milligrams '],['6 grams '],['1 grams '],['1 grams '],['4 grams '],['88 calorie ']
Caesar Pasta Salad,30 minutes,4.5 of 5 stars,42 Reviews,['237 '],['20 g'],['5 g'],['11 g'],['1 g'],['2 g'],['5 g'],['7 mg'],['239 mg']
Watermelon and Feta Salad,20 minutes,5 of 5 stars,68 Reviews,['320 '],['30 g'],['6 g'],['12 g'],['1 g'],['8 g'],['4 g'],['17 mg'],['466 mg']
Three Bean Salad,25 minutes,5 of 5 stars,38 Reviews,['349 '],['12 g'],['2 g'],['48 g'],['14 g'],['6 g'],['15 g'],['0 mg'],['658 mg']
Caprese Salad,10 minutes,5 of 5 stars,19 Reviews,['242 '],['19 g'],['8 g'],['4 g'],['1 g'],['2 g'],['13 g'],['44 mg'],['355 mg']
Celery Succotash Salad,15 minutes,5 of 5 stars,36 Reviews,['278 '],['19 g'],['3 g'],['26 g'],['4 g'],['13 g'],['3 g'],['0 mg'],['411 mg']
Radiance Fruit Salad,20 minutes,5 of 5 stars,33 Reviews,['0.5 grams '],['0 grams '],['0 milligrams '],['10 milligrams '],['29 grams '],['4 grams '],['2 grams '],['120 calorie '],['0.5 grams ']
Winter Kale Salad,15 minutes,5 of 5 stars,40 Reviews,['18.5 grams '],['3.5 grams '],['6 milligrams '],['277 milligrams '],['18 grams '],['4 grams '],['5 grams '],['6 grams '],['248 calorie ']
Eggless Salad,10 minutes,5 of 5 stars,20 Reviews,['355 '],['31 g'],['5 g'],['7 g'],['2 g'],['2 g'],['16 g'],['11 mg'],['659 mg']
Chunky Egg Salad,28 minutes,4.5 of 5 stars,58 Reviews,['18 grams '],['4 grams '],['284 milligrams '],['771 milligrams '],['2 grams '],['10 grams '],['1 grams '],['216 calorie '],['18 grams ']
Montauk Seafood Salad,35 minutes,4.5 of 5 stars,54 Reviews,['603 '],['42 g'],['6 g'],['15 g'],['1 g'],['1 g'],['40 g'],['128 mg'],['1749 mg']
Cowboy Chopped Salad,16 minutes,5 of 5 stars,35 Reviews,['1759 '],['170 g'],['34 g'],['34 g'],['6 g'],['15 g'],['30 g'],['139 mg'],['1568 mg']
Ernie's Greek Salad,15 minutes,5 of 5 stars,29 Reviews,['39 grams '],['11 grams '],['10 grams '],['3 grams '],['425 calorie '],['39 grams '],['11 grams '],['10 grams '],['3 grams ']
Fruit Salad with Cannoli Cream,45 minutes,5 of 5 stars,63 Reviews,['263 '],['15 g'],['7 g'],['29 g'],['6 g'],['20 g'],['6 g'],['41 mg'],['29 mg']
Grilled Potato Salad,35 minutes,5 of 5 stars,36 Reviews,['563 '],['28 g'],['5 g'],['71 g'],['9 g'],['7 g'],['10 g'],['10 mg'],['1089 mg']
Mango and Avocado Salad,15 minutes,5 of 5 stars,68 Reviews,['331 '],['22 g'],['3 g'],['36 g'],['10 g'],['25 g'],['4 g'],['0 mg'],['681 mg']
Rotisserie Chicken Salad Sandwiches,40 minutes,5 of 5 stars,97 Reviews,['493 '],['40 g'],['9 g'],['16 g'],['2 g'],['4 g'],['17 g'],['119 mg'],['550 mg']
BLT Picnic Salad,40 minutes,4.5 of 5 stars,53 Reviews,['274 '],['21 g'],['5 g'],['15 g'],['2 g'],['4 g'],['7 g'],['21 mg'],['348 mg']
Summer Chicken Salad,50 minutes,5 of 5 stars,36 Reviews,['468 '],['25 g'],['8 g'],['27 g'],['5 g'],['12 g'],['38 g'],['128 mg'],['916 mg']
Pinto Bean Salsa Salad,20 minutes,5 of 5 stars,40 Reviews,['15 grams '],['2 grams '],['24 grams '],['6 grams '],['6 grams '],['239 calorie '],['15 grams '],['2 grams '],['24 grams ']
Unknown,Unknown,Unknown,no review info,,,,,,,,,
Sesame Tofu Salad,1 hour 30 minutes,5 of 5 stars,29 Reviews,['579 '],['50 g'],['7 g'],['24 g'],['5 g'],['16 g'],['13 g'],['0 mg'],['613 mg']
BLT Sandwich Salad,45 minutes,5 of 5 stars,30 Reviews,['398 '],['29 g'],['8 g'],['28 g'],['3 g'],['15 g'],['7 g'],['32 mg'],['448 mg']
Grilled Corn Salad,27 minutes,4.5 of 5 stars,62 Reviews,['15 grams '],['2 grams '],['254 milligrams '],['24 grams '],['4 grams '],['4 grams '],['7 grams '],['229 calorie '],['15 grams ']
The Best Egg Salad,35 minutes,4.5 of 5 stars,86 Reviews,['166 '],['15 g'],['3 g'],['2 g'],['0 g'],['1 g'],['7 g'],['191 mg'],['187 mg']
Chic Greek Salad,12 minutes,5 of 5 stars,30 Reviews,['424 '],['25 g'],['4 g'],['18 g'],['5 g'],['9 g'],['35 g'],['19 mg'],['857 mg']
Warm Asparagus Salad,20 minutes,5 of 5 stars,33 Reviews,['212 '],['19 g'],['4 g'],['5 g'],['2 g'],['1 g'],['8 g'],['10 mg'],['206 mg']
Grilled Potato Salad,26 minutes,5 of 5 stars,30 Reviews,['490 '],['18 g'],['3 g'],['77 g'],['11 g'],['10 g'],['9 g'],['0 mg'],['31 mg']
Tuna and Green Bean Salad,27 minutes,5 of 5 stars,105 Reviews,['15 grams '],['2 grams '],['8 milligrams '],['1217 milligrams '],['31 grams '],['6 grams '],['17 grams '],['7 grams '],['321 calorie ']
Beet and Goat Cheese Arugula Salad,42 minutes,5 of 5 stars,177 Reviews,['475 '],['36 g'],['7 g'],['32 g'],['7 g'],['22 g'],['10 g'],['10 mg'],['627 mg']
Very Berry Fruit Salad,35 minutes,5 of 5 stars,50 Reviews,['109 '],['1 g'],['0 g'],['27 g'],['6 g'],['19 g'],['1 g'],['0 mg'],['2 mg']
Classic Nicoise Salad,55 minutes,5 of 5 stars,27 Reviews,['746 '],['54 g'],['9 g'],['31 g'],['7 g'],['5 g'],['34 g'],['200 mg'],['1134 mg']
Kale and Apple Salad,30 minutes,5 of 5 stars,51 Reviews,['8.5 grams '],['1.5 grams '],['4 milligrams '],['161 milligrams '],['17 grams '],['3 grams '],['5 grams '],['8 grams '],['151 calorie ']
Broccoli and Cauliflower Salad,25 minutes,5 of 5 stars,49 Reviews,['20 grams '],['3 grams '],['10 milligrams '],['326 milligrams '],['11 grams '],['2 grams '],['3 grams '],['8 grams '],['229 ']
Loaded Baked Potato Salad,30 minutes,5 of 5 stars,56 Reviews,['954 '],['72 g'],['27 g'],['50 g'],['6 g'],['6 g'],['28 g'],['132 mg'],['1110 mg']
Creamy Cucumber Salad,6 hours 10 minutes,4 of 5 stars,107 Reviews,['163 '],['9 g'],['5 g'],['16 g'],['1 g'],['10 g'],['6 g'],['31 mg'],['843 mg']
Strawberry and Spinach Salad,10 minutes,5 of 5 stars,35 Reviews,['127 '],['9 g'],['2 g'],['7 g'],['3 g'],['4 g'],['5 g'],['5 mg'],['252 mg']
Martin's Broccoli Salad,15 minutes,5 of 5 stars,31 Reviews,['303 '],['26 g'],['5 g'],['15 g'],['2 g'],['11 g'],['5 g'],['20 mg'],['257 mg']
Avocado Salad,10 minutes,5 of 5 stars,16 Reviews,['165 '],['14 g'],['2 g'],['10 g'],['5 g'],['4 g'],['2 g'],['0 mg'],['234 mg']
